treatment_key,year,location,test_id,experiment_name,watered,planting_date,digging_date,test_entry,variety_key,variety,treatment,block,plot_number,plot_weight,total_seed_weight,total_seed_count,calc_seed_weight_200,seed_weight_200,seed_weight_100,seed_per_pound,peanut_yield,moisture,tsmk,ok,dk,elk,fancy,maturity_code,maturity,market_type,plot_harvest_length,plot_harvest_width,plots_per_acre,plot_row_number,plot_column_number,notes,plots
Georgia-12Yø708PN18-111,2018,Plains,708PN,708PN18,FALSE,,10/17/2018,119,,Georgia-12Y,,1,111,11.5,,,-9,,,-9,4175,,,,,,,,Unknown,Runner,20,6,363,,,,
Georgia-14Nø708PN18-113,2018,Plains,708PN,708PN18,FALSE,,10/17/2018,221,,Georgia-14N,,1,113,11.5,,,-9,,,-9,4175,,,,,,,,Unknown,Runner,20,6,363,,,,
Georgia-18RUø708PN19-218,2019,Plains,708PN,708PN19,FALSE,,10/24/2019,247,,Georgia-18RU,,2,218,11.5,,,-9,,,-9,4175,,,,,,,6,M+,Runner,20,6,363,,,,
Georgia-18RUø608PN24-503,2024,Tifton,608PN,608PN24,FALSE,5/29/2024,11/1/2024,105,,Georgia-18RU,,5,503,11.5,,,-9,,,-9,4175,,,,,,,6,M+,Runner,20,6,363,13,6,,
Georgia-20VHOø508PN18-524,2018,Midville,508PN,508PN18,FALSE,,10/16/2018,264,,Georgia-20VHO,,5,524,11.5,,,-9,,,-9,4175,,,,,,,,Unknown,Runner,20,6,363,,,,
Georgia-20VHOø707PN19-206,2019,Plains,707PN,707PN19,TRUE,,10/7/2019,264,,Georgia-20VHO,,2,206,11.5,,,-9,,,-9,4175,,,,,,,5,M,Runner,20,6,363,,,,
Georgia-20VHOø707PN21-528,2021,Plains,707PN,707PN21,TRUE,,10/19/2021,,,Georgia-20VHO,,5,528,11.5,,,-9,,,-9,4175,,,,,,,5,M,Runner,20,6,363,,,,
Georgia-21GRø608PN24-112,2024,Tifton,608PN,608PN24,FALSE,5/29/2024,11/1/2024,115,,Georgia-21GR,,1,112,11.5,,,-9,,,-9,4175,,,,,,,6,M+,Runner,20,6,363,9,2,,
Georgia-Val/HOø605PN19-608,2019,Tifton,605PN,605PN19,TRUE,,9/13/2019,250,,Georgia-Val/HO,,6,608,11.5,,,-9,,,-9,4175,,,,,,,1,E,Valencia,20,6,363,,,,
Suggø607PN16-119,2016,Tifton,607PN,607PN16,TRUE,,9/12/2016,112,,Sugg,,1,119,11.5,,,-9,,,-9,4175,7,,,,,,4,M-,Virginia,20,6,363,,,,
Sullivanø708PN19-120,2019,Plains,708PN,708PN19,FALSE,,9/24/2019,237,,Sullivan,,1,120,11.5,,,-9,,,-9,4175,,,,,,,4,M-,Virginia,20,6,363,,,,
Sullivanø708PN19-301,2019,Plains,708PN,708PN19,FALSE,,9/24/2019,237,,Sullivan,,3,301,11.5,,,-9,,,-9,4175,,,,,,,4,M-,Virginia,20,6,363,,,,
Sullivanø608PN21-301,2021,Tifton,608PN,608PN21,FALSE,,9/23/2021,,,Sullivan,,3,301,11.5,,,-9,,79,574.167557,4175,,69,3,1,40,,4,M-,Virginia,20,6,363,,,,
Sullivanø608PN21-301,2021,Tifton,608PN,608PN21,FALSE,,9/23/2021,,,Sullivan,,3,301,11.5,,,-9,,83,546.4968313,4175,,,,,,,4,M-,Virginia,20,6,363,,,,
Tifguardø708PN19-325,2019,Plains,708PN,708PN19,FALSE,,10/7/2019,83,,Tifguard,,3,325,11.5,,,-9,,,-9,4175,,,,,,,5,M,Runner,20,6,363,,,,
Tifguardø707PN21-208,2021,Plains,707PN,707PN21,TRUE,,10/19/2021,,,Tifguard,,2,208,11.5,,,-9,,,-9,4175,,,,,,,5,M,Runner,20,6,363,,,,
Tifguardø707PN21-319,2021,Plains,707PN,707PN21,TRUE,,10/19/2021,,,Tifguard,,3,319,11.5,,,-9,,71,638.862493,4175,,,,,,,5,M,Runner,20,6,363,,,,
Tifguardø707PN21-319,2021,Plains,707PN,707PN21,TRUE,,10/19/2021,,,Tifguard,,3,319,11.5,,,-9,,73,621.359411,4175,,72,3,2,0,,5,M,Runner,20,6,363,,,,
TifNV-High O/Lø708PN18-405,2018,Plains,708PN,708PN18,FALSE,,10/17/2018,238,,TifNV-High O/L,,4,405,11.5,,,-9,,,-9,4175,,,,,,,,Unknown,Runner,20,6,363,,,,
TifNV-High O/Lø707PN21-322,2021,Plains,707PN,707PN21,TRUE,,10/19/2021,,,TifNV-High O/L,,3,322,11.5,,,-9,,70,647.9891,4175,,73,3,1,0,,5,M,Runner,20,6,363,,,,
TifNV-High O/Lø707PN21-322,2021,Plains,707PN,707PN21,TRUE,,10/19/2021,,,TifNV-High O/L,,3,322,11.5,,,-9,,74,612.9626622,4175,,,,,,,5,M,Runner,20,6,363,,,,
